ang áng
túc tắc
tùm hum
tum húp
tủm tỉm
tun hủn
tung thâm
tung toé
turn-about
tùy
tùy nghi
tuy nhiên
tuy rằng
túy tâm
tùy ý
tuyền
tuyệt vời
tự
tự dưng
tự hồ
tự nguyện
tử tế
tức thì
tức tốc
từng
tươi
tươm
tướt
ù
ú ớ
ục ịch
ùm
vào
vào khoảng
vay
vẫn
vân vân
vầy
vậy thì
vấy vá
véo von
vênh
ví dụ
vì thế
vĩnh hằng
vò võ
vòng quanh
vòng vèo
vọt
vô
vô cớ
vô cùng
vội
vỡ lòng
với nhau
vù vù
vung
vừa mới
vừa rồi
vừa tầm
vừa vừa
vượt quá
xá
xém
xiều
xỉu
xô bồ
xơi xơi
y
y nguyên
yểu
